iteration,median,q25,q75
1,0.9359081222116099,0.9176862158986056,2.619902730483431
2,-0.2729892078401538,-0.8142581891739449,0.6396060650071096
3,-0.7452797622011503,-0.8864588726130099,-0.7221367675581387
4,-0.796847082834091,-0.9046492716934954,-0.7370919978719176
5,-0.8113128665970972,-0.908636771989467,-0.7370919978719176
6,-0.8203647501310898,-0.9110046487973904,-0.7370919978719176
7,-0.8261928291811673,-0.9124550058222967,-0.7370919978719176
8,-0.8299904043522985,-0.9137425293036472,-0.7370919978719176
9,-0.8324838633624715,-0.9137425293036472,-0.7370919978719176
10,-0.8341288576037594,-0.9142815114800339,-0.7370919978719176
11,-0.8354179094574051,-0.9165617317779206,-0.7376243744441906
12,-0.8767446427302277,-0.930333449072286,-0.8109695257041015
13,-0.8773886497746214,-0.9312994596388765,-0.8109695257041015
14,-0.8773886497746214,-0.9312994596388765,-0.8109695257041015
15,-0.8773886497746214,-0.9312994596388765,-0.8109695257041015
