mu,sigma
38.05971528454323,-1.1840266924411975
22.35837577814982,2.103956598097066
25.50291022203743,-0.5685673923255399
27.749204379046116,3.311954026569617
30.05284409109364,-1.5671652692817424
31.967604972786532,-0.42673646943864263
17.56816491473137,0.14761258173718586
36.36226489931082,-0.23631042401543245
23.711334132929437,0.4944342075380599
31.261765951442907,2.086548964710885
20.670051575552613,-90.99386339702855
13.308907277145455,2.625822596676602
27.049147660888256,1.1023065521446886
16.599490333910474,-1.1005721494712932
36.8925989669201,-2.2333889170027232
20.003227840002545,-0.7736629285324996
24.24933494024642,0.2987572406712935
32.00932868902622,1.28518345798719
16.51488251862036,-0.3022385139255257
18.07494594082214,0.29193406822451584
27.521463678595513,0.13027391010618353
17.191100277372147,2.5227694540578565
20.775970101083814,0.6494855639176116
20.300247905131023,-3.374886125725097
37.03100283626431,-0.056288371441900076
15.88961586871565,1.6801025019559506
15.57702657547735,-2.9586204409351593
33.07757356656378,-0.04785837284130767
14.842935945196388,-0.6672427174408477
31.408797989788432,0.9593157656977717
16.422747388833898,-1.474967355584552
31.647519180604355,-1.5944557681426565
41.067445403968826,-90.21709140234576
14.653863593551264,0.004827972994787211
15.51710603741055,1.4523829095681098
39.89435865332458,-2.06471303381759
31.782245297043755,2.0950162367194154
17.891446236275254,2.373727017186808
15.981700328518519,-0.7294899271016699
34.24017173272451,3.606253287798026
25.924588500960112,1.189086031322434
15.584396336303048,1.12934040248326
36.55975560928453,-0.4153659868291507
34.05827644708624,1.8690208643682553
16.465643199742537,3.276859552021171
20.6932546873909,-0.4144175105006952
35.816799408090695,-0.6949891835472357
30.00665489803129,0.16923001378674588
19.218142175477144,-0.5440899998864285
19.37032926423096,1.444041519034231
