iteration,median,q25,q75
1,6.617281617663149,6.569658001509793,6.7285860691569255
2,6.446853484808656,6.443956621072541,6.579018129597433
3,6.440709866789425,6.408870450645415,6.453924193387532
4,6.440709866789425,6.403772575564716,6.446743312659279
5,6.440709866789425,6.398947323170066,6.446743312659279
6,6.440709866789425,6.3962771464803,6.446743312659279
7,6.440709866789425,6.396277134105562,6.446743312659279
8,6.440709866789425,6.396277134000221,6.446743312659279
9,6.440709866789425,6.396277134000221,6.446743312659279
10,6.440709866789425,6.396277134000221,6.446743312659279
11,6.396277134000221,6.367776117572918,6.440709866789425
12,6.396277134000221,6.348924322609608,6.440709866789425
13,6.396277134000221,6.341135267922461,6.440709866789425
14,6.396277134000221,6.341135267922461,6.440709866789425
15,6.396277134000221,6.341135267922461,6.440709866789425
