mu,sigma
14.725901527629134,2.426841735955838
24.274994119385237,3.4722479858501014
22.884207305478217,0.13104094286931445
26.69474574466289,1.6303603745115705
17.959666357399357,1.801197816577574
16.039988902282975,2.685928242791113
20.3295221537466,0.3440225774288772
9.936890018975317,1.8822601797061187
24.815107314396567,1.2407181522387898
12.824770850134264,1.2316172930817157
13.756933407017234,2.280986386795234
10.125174863311173,2.2077455253194715
21.85466418095506,1.697048972342024
26.53296401938662,0.5121762380061299
21.41236679731526,2.922953060265714
19.755419537915902,2.9467576147847465
18.621026363695783,-0.0819725832038789
25.876319040251794,1.797647075093245
28.679966406516627,1.156739682944587
21.618493683405415,2.9968862156322293
15.285502841650189,3.024572559840014
21.65236879371453,0.20464425426103605
22.58242890161171,4.469567607985733
17.711096968543565,1.79699475445629
11.615948789489082,1.3903547027473604
19.088235305653757,1.8225023644608433
18.029581633219625,2.6076729740078672
22.135535569968418,1.0030580811787826
17.774952491916466,3.1818421438700994
21.42860313619232,2.9794690515895836
24.924569331283227,2.193497575615036
6.285698255792068,3.149948459096816
28.10410305342591,2.3311435943992915
13.907472965968388,0.9239193529585117
23.90006541726372,1.3729730466248684
17.7895604081482,1.0197226230054164
25.157916991982372,2.402978617167366
23.651566924176485,1.7303243666664907
14.050278721629025,1.8290898325223672
9.155550408375323,2.3091743478760685
14.777287717413936,1.2941025232448862
17.475441046801876,1.958574340300562
15.863206368053778,1.8229081542071992
20.173474987408994,2.442669126726953
11.045587993185093,1.3160786529989918
21.30640828202964,1.751826978456731
20.75014303827431,2.2355114397125138
14.04963288570356,2.0524582987808646
9.567867220256392,1.4144569017328203
27.791912470096477,1.7890201003853914
