iteration,best_loss
0,inf
1,inf
2,inf
3,inf
4,-0.23331965201122898
5,-0.23331965201122898
6,-0.23331965201122898
7,-0.23331965201122898
8,-0.23331965201122898
9,-0.23331965201122898
10,-0.23331965201122898
11,-0.23331965201122898
12,-0.23331965201122898
13,-0.23331965201122898
14,-0.23331965201122898
15,-0.23331965201122898
16,-0.23331965201122898
17,-0.23331965201122898
18,-0.23331965201122898
19,-0.23331965201122898
20,-0.23331965201122898
21,-0.23331965201122898
22,-0.23331965201122898
23,-0.23331965201122898
24,-0.23331965201122898
25,-0.23331965201122898
26,-0.23331965201122898
27,-0.23331965201122898
28,-0.23331965201122898
29,-0.23331965201122898
30,-0.23331965201122898
31,-0.23331965201122898
32,-1.8311815543368284
33,-1.8311815543368284
34,-1.8311815543368284
35,-1.8311815543368284
36,-1.8311815543368284
37,-1.8311815543368284
38,-1.8311815543368284
39,-1.8311815543368284
40,-1.8311815543368284
41,-1.8311815543368284
42,-1.8311815543368284
43,-1.8311815543368284
44,-1.8311815543368284
45,-1.8311815543368284
46,-1.8311815543368284
47,-1.8311815543368284
48,-1.8311815543368284
49,-1.8311815543368284
50,-1.8311815543368284
51,-1.8311815543368284
52,-1.8311815543368284
53,-1.8311815543368284
54,-1.8311815543368284
55,-1.8311815543368284
56,-1.8311815543368284
57,-1.8311815543368284
58,-1.8311815543368284
59,-1.8311815543368284
60,-1.8311815543368284
61,-1.8311815543368284
62,-1.8311815543368284
63,-1.8311815543368284
64,-1.8311815543368284
65,-1.8311815543368284
66,-1.8311815543368284
67,-1.8311815543368284
68,-1.8311815543368284
69,-1.8311815543368284
70,-1.8311815543368284
71,-1.8311815543368284
72,-1.8311815543368284
73,-1.8311815543368284
74,-1.8311815543368284
75,-1.8311815543368284
76,-1.8311815543368284
77,-1.8311815543368284
78,-1.8311815543368284
79,-1.8311815543368284
80,-1.8311815543368284
81,-1.8311815543368284
82,-1.8311815543368284
83,-1.8311815543368284
84,-1.8311815543368284
85,-1.8311815543368284
86,-1.8311815543368284
87,-1.8311815543368284
88,-1.8311815543368284
89,-1.8311815543368284
90,-1.8311815543368284
91,-1.8311815543368284
92,-1.8311815543368284
93,-1.8311815543368284
94,-1.8311815543368284
95,-1.8311815543368284
96,-1.8311815543368284
97,-1.8311815543368284
98,-1.8311815543368284
99,-1.8311815543368284
100,-1.8311815543368284
101,-1.8311815543368284
