iteration,median,q25,q75
1,-14.253674430010586,-14.896866831168898,-14.103608689286139
2,-19.905855375547738,-20.15077906682036,-19.58432859756554
3,-20.46228413134809,-20.629868561415023,-20.296535452018396
4,-20.480564687266494,-20.612985287102873,-20.452984795840287
5,-20.544812063058504,-20.67175410371411,-20.533648152852937
6,-20.583140989733177,-20.707455787365824,-20.58228597971522
7,-20.618558352687927,-20.73573236932986,-20.612771899127942
8,-20.642418969654006,-20.754516554204717,-20.632295618925497
9,-20.75378828583412,-20.814687101177757,-20.692889470490485
10,-20.759945978360307,-20.820719048600072,-20.699172908120545
11,-20.76509892932412,-20.82587103772176,-20.704326820926482
12,-20.76509892932412,-20.82587103772176,-20.704326820926482
13,-20.76509892932412,-20.82587103772176,-20.704326820926482
14,-20.76509892932412,-20.82587103772176,-20.704326820926482
15,-20.76509892932412,-20.82587103772176,-20.704326820926482
