iteration,best_loss
0,8.912657458727345
1,-0.8196782815590095
2,-0.8196782815590095
3,-0.8196782815590095
4,-0.8196782815590095
5,-0.8196782815590095
6,-0.8196782815590095
7,-0.8196782815590095
8,-0.8196782815590095
9,-0.8196782815590095
10,-0.8196782815590095
11,-0.8196782815590095
12,-0.8196782815590095
13,-0.8196782815590095
14,-2.895599281948453
15,-2.895599281948453
16,-2.895599281948453
17,-2.895599281948453
18,-2.895599281948453
19,-2.895599281948453
20,-2.895599281948453
21,-2.895599281948453
22,-2.895599281948453
23,-2.895599281948453
24,-2.895599281948453
25,-2.895599281948453
26,-2.895599281948453
27,-2.895599281948453
28,-2.895599281948453
29,-3.1094289358505636
30,-3.1094289358505636
31,-3.1094289358505636
32,-3.1094289358505636
33,-3.1094289358505636
34,-3.1094289358505636
35,-3.1094289358505636
36,-3.1094289358505636
37,-3.1094289358505636
38,-3.1094289358505636
39,-3.1094289358505636
40,-3.1094289358505636
41,-3.1094289358505636
42,-8.952965231436268
43,-8.952965231436268
44,-8.952965231436268
45,-8.952965231436268
46,-8.952965231436268
47,-8.952965231436268
48,-8.952965231436268
49,-8.952965231436268
50,-8.952965231436268
51,-8.952965231436268
52,-8.952965231436268
53,-8.952965231436268
54,-8.952965231436268
55,-8.952965231436268
56,-8.952965231436268
57,-8.952965231436268
58,-8.952965231436268
59,-8.952965231436268
60,-8.952965231436268
61,-8.952965231436268
62,-8.952965231436268
63,-8.952965231436268
64,-8.952965231436268
65,-8.952965231436268
66,-8.952965231436268
67,-8.952965231436268
68,-8.952965231436268
69,-8.952965231436268
70,-8.952965231436268
71,-8.952965231436268
72,-8.952965231436268
73,-8.952965231436268
74,-8.952965231436268
75,-8.952965231436268
76,-8.952965231436268
77,-8.952965231436268
78,-8.952965231436268
79,-8.952965231436268
80,-8.952965231436268
81,-8.952965231436268
82,-8.952965231436268
83,-8.952965231436268
84,-8.952965231436268
85,-8.952965231436268
86,-8.952965231436268
87,-8.952965231436268
88,-8.952965231436268
89,-8.952965231436268
90,-8.952965231436268
91,-8.952965231436268
92,-8.952965231436268
93,-8.952965231436268
