iteration,median,q25,q75
1,1.2889119918685519,1.1741442590392526,1.8149244102977053
2,1.2889119918685519,1.1593481061844,1.63110938843463
3,1.1593481061844,0.9467969783343309,1.2889119918685519
4,0.9467969783343309,0.37113116805710966,1.1593481061844
5,0.9467969783343309,0.37113116805710966,1.1593481061844
6,0.37113116805710966,-16.265794891526415,1.1593481061844
7,0.37113116805710966,-16.265794891526415,1.1593481061844
8,0.37113116805710966,-16.265794891526415,1.1593481061844
9,0.37113116805710966,-16.265794891526415,1.1593481061844
10,0.7652396371207548,-4.518275590166118,1.2116434702516612
11,0.7652396371207548,-4.534045163591935,1.2116434702516612
12,0.7652396371207548,-4.57826705388929,1.2116434702516612
13,0.7652396371207548,-4.57826705388929,1.2116434702516612
14,0.7652396371207548,-4.57826705388929,1.2116434702516612
15,0.7652396371207548,-4.57826705388929,1.2116434702516612
