skill1,skill2
20.329138819094855,20.595292862673723
21.37635661012636,12.430971759583198
20.283632114475786,22.023900194840866
20.96216703969527,16.25216051113299
16.864643446650383,18.07323407255466
17.41122321498791,23.842399690913656
14.944467265774247,22.594392441966725
20.902771604054244,23.953831433141893
14.537143311469041,20.835937831973826
19.44537136388449,16.12472031243227
21.488471866143485,19.027080726750558
28.694500773218095,26.02195783062381
23.253166310981737,24.946529704692956
23.902512642788857,13.558355685657823
22.751179815497586,19.26046226583075
16.259484774786053,27.84306891539934
18.748941996915008,22.36821038711543
25.67123214041144,18.38696178841976
18.19373209149119,15.515440856711477
16.716832826099164,22.601031338771048
21.039035309237526,21.267245119819822
19.374187881299633,20.13916114971691
24.210084716930297,27.38819042912187
19.117399091541998,16.467751697711517
17.783473436558765,21.140307061880147
25.577312805306015,22.84023996245644
21.890242820840253,17.096989180981577
18.982531661829825,22.749650697111583
22.920604389085433,22.370662889470257
25.957003069923154,21.585288794484836
21.649811374752904,15.079200529399852
18.386046113662687,12.325382403561367
20.432237832088262,22.015382028416713
21.448733980751662,20.595215962399617
21.307074521608616,21.47384909472166
25.761501891589305,25.8981571128786
21.191131545587144,20.21732724432367
12.378193639737685,21.29358811196885
21.929358642218705,21.2027559526573
20.872452487979405,21.08636724896706
23.432008145604726,17.62332517240133
23.80956534010444,20.36945396297856
20.31795681648895,19.610861001502524
18.44193661254635,13.874112519150295
18.826313136151192,17.762879019780247
17.43012054615413,18.040924850883002
17.279825025142845,19.752046001435875
19.133830727341003,20.784163194006222
22.508546797103737,8.094186754712423
26.0721822271149,22.549272242751734
