iteration,median,q25,q75
1,6.040612346312005,4.572692727371586,6.102910969958997
2,6.040609704879821,3.64656169908711,6.058967502335464
3,6.040609703317325,3.366683350516226,6.05314968783008
4,6.039328860614921,3.237248269168407,6.052562420902406
5,6.025607780786897,3.1810861092066927,6.04700786122105
6,6.004320030904513,3.147707998818495,6.0256077802910095
7,5.932519066570665,3.1396339579193095,6.025607780061179
8,5.898919894107777,3.1325571733882,6.025607780061179
9,4.578936674770963,2.772463565529259,6.045122632498585
10,4.570422439972595,2.7724635637717543,6.032351282058538
11,4.564228372226459,2.7724635637717543,6.0230601804393356
12,4.5640467280619035,2.7724635637717543,6.022787714192502
13,4.564046662019417,2.7724635637717543,6.022787615128771
14,4.564046661891488,2.7724635637717543,6.022787614936877
15,4.561122237930831,2.76807692785199,6.022787614915655
