Method,NLL,GW2 distance to real program,Avg time (s)
Real program,-0.2615751031533632,0.0,
Benchmark,6.066494429040081,9.239626802105532,
ALPS,0.26680067706422617,16.973570632182277,2263.2778668403625
grammar_mcmc,4.082266022449411,3290.3400084682453,85.73828692436219
refinestat,3.4391053297097702,9.26597407229134,446.07401113510133
Evolutionary (GP),0.19788858351370564,11.777179685431761,539.3346392185457
