iteration,best_loss
0,5.082790097989507
1,5.082790097989507
2,5.082790097989507
3,5.082790097989507
4,5.082790097989507
5,5.082790097989507
6,5.082790097989507
7,5.082790097989507
8,5.082790097989507
9,5.082790097989507
10,5.082790097989507
11,5.082790097989507
12,5.082790097989507
13,5.082790097989507
14,-3.892883838493911
15,-3.892883838493911
16,-3.892883838493911
17,-3.892883838493911
18,-3.892883838493911
19,-3.892883838493911
20,-3.892883838493911
21,-3.892883838493911
22,-3.892883838493911
23,-3.892883838493911
24,-3.892883838493911
25,-3.892883838493911
26,-3.892883838493911
27,-3.892883838493911
