Method,NLL,GW2 distance to real program,Avg time (s)
Real program,5.73966035488494,0.0,
Benchmark,6.354959834318335,58.248340231662425,
ALPS,5.741373729618541,25.572809429042735,2014.0407488822937
grammar_mcmc,6.96928754815642,1438.889672430863,50.76044297218323
refinestat,6.150515421213307,48.71648968344148,119.07812042236328
refinestat_mcmc,6.1213006102194525,46.020957869954856,494.0318634033203
Evolutionary (GP),6.230790403472249,54.47984341703757,1077.339282631874
