iteration,median,q25,q75
1,-5.662329070914213,-6.076011278907723,-5.119247765328238
2,-9.115214450168184,-9.478389876687977,-8.690461024401346
3,-9.571913029334741,-9.57904988035117,-8.690461024401346
4,-9.648027731354432,-9.697997136539318,-8.690461024401346
5,-9.666741202866024,-9.715303903075831,-8.690461024401346
6,-9.67783028855069,-9.724078330429107,-8.690461024401346
7,-9.684863726918376,-9.72891491552199,-8.690461024401346
8,-9.689397994208042,-9.731707555140549,-8.690461024401346
9,-9.692352395776327,-9.734281725914716,-8.690461024401346
10,-9.694927910115451,-9.734281725914716,-8.690461024401346
11,-9.694927910115451,-9.734281725914716,-8.690461024401346
12,-9.694927910115451,-9.734281725914716,-8.690461024401346
13,-9.694927910115451,-9.734281725914716,-8.690461024401346
14,-9.694927910115451,-9.734281725914716,-8.690461024401346
15,-9.694927910115451,-9.734281725914716,-8.690461024401346
