iteration,best_loss
1,-14.908241130646251
2,-20.103688620608605
3,-20.741567948104624
4,-21.01485162630986
5,-21.121500501196866
6,-21.184616892610673
7,-21.22386033340264
8,-21.24887331824722
9,-21.265059435422632
10,-21.2756348426324
