benchmark,method,seed,NLL,GW2,elapsed_seconds
if,real_program,1,3.694560957362951,0.0,
if,naive_gauss,1,5.289788445757126,51.63633902310622,
if,evolutionary,Rominas-Air.lan_25_1_20_222233_803259_1469_20,4.898112311236305,37.61759284022951,
if,evolutionary,Rominas-Air.lan_25_1_20_221555_870448_120_12,5.389922877386446,61.38929326203697,
if,evolutionary,Rominas-Air.lan_25_1_20_222122_87571_1227_18,5.29229196099094,66.59987282375295,
if,evolutionary,Rominas-Air.lan_25_1_20_220930_339144_98831_4,5.598554525901237,91.16095523223575,
if,evolutionary,Rominas-Air.lan_25_1_20_223022_983182_2756_29,5.265690953304413,70.15295438183347,
if,ALPS,seed1,3.9640480218277303,6.567893661205537,4178.649980306625
if,ALPS,seed2,3.9633152026347114,4.300277620444779,1072.8736650943756
if,ALPS,seed3,3.9183607459968375,5.382451418508051,1913.5947170257568
if,ALPS,seed4,4.028458670311362,23.377438299219364,1951.011085510254
if,ALPS,seed5,4.00940773885011,26.559599663502524,1936.4846909046173
if,grammar_mcmc,20260908_005544_seed1,5.370255110969286,284.88392207608024,1718.6617600917816
if,grammar_mcmc,20260908_012423_seed2,5.403819274094801,792.0711758655531,1732.3765227794647
if,grammar_mcmc,20260908_015315_seed3,5.4989481329135455,119.8135991805205,1783.2570495605469
if,grammar_mcmc,20260908_022259_seed4,5.534245397002655,136.81393590191203,1720.036699295044
if,grammar_mcmc,20260908_025139_seed5,5.225008027834665,76.93972283514238,1714.2937297821045
if,refinestat,20260817_113838_seed1,5.087085864157646,31.199873167036102,266.94463300704956
if,refinestat,20260817_114305_seed2,5.291545740482038,52.3640392961629,84.56416130065918
if,refinestat,20260817_114430_seed3,5.292638025931094,51.256987623115165,60.4749870300293
if,refinestat,20260817_114530_seed4,5.290595612302368,51.95276882885858,76.78746318817139
if,refinestat,20260817_114647_seed5,5.290362968918643,52.019795388549014,90.70132946968079
if,refinestat_mcmc,20260812_171737_seed1,4.724661568960188,8.415338779022358,523.6726357936859
if,refinestat_mcmc,20260812_172621_seed2,5.4645872822012285,33.211189421866855,713.582688331604
if,refinestat_mcmc,20260812_173814_seed3,4.588099224853783,31.24460567396281,608.0845532417297
if,refinestat_mcmc,20260812_174823_seed4,4.564506031891919,4.347516311968574,924.7131400108337
if,refinestat_mcmc,20260812_180347_seed5,4.51369272698668,4.7888608783788555,972.9095599651337
mog1,real_program,1,6.6697904721593675,0.0,
mog1,naive_gauss,1,6.706814816720446,8.843311891324918,
mog1,evolutionary,cli-10-110-18-70.WIFIeduroamSTUD.units.it_25_1_20_141103_327610_33779_27,7.192448582878789,5.507201114127898,
mog1,evolutionary,cli-10-110-18-70.WIFIeduroamSTUD.units.it_25_1_20_135012_753304_30781_0,7.392855156083403,23.705819620316888,
mog1,evolutionary,cli-10-110-18-70.WIFIeduroamSTUD.units.it_25_1_20_135949_888200_32191_14,8.100054686728614,31.664402285409437,
mog1,evolutionary,cli-10-110-18-70.WIFIeduroamSTUD.units.it_25_1_20_140623_915804_33136_23,8.243064785091283,120.34924789209686,
mog1,evolutionary,cli-10-110-18-70.WIFIeduroamSTUD.units.it_25_1_20_140502_356544_32924_21,7.729709942284377,12.509243008339178,
mog1,ALPS,20260826_151706,6.369920339995823,32.48573220517787,2091.074206352234
mog1,ALPS,20260826_155201,6.424079270932127,25.20671677572079,2318.783328294754
mog1,ALPS,20260826_163043,6.394852226999156,29.00611502782346,1223.8905827999115
mog1,ALPS,20260826_165110,6.405760315930337,34.79492188272767,1570.5466485023499
mog1,ALPS,20260830_165747,6.71164654645689,17.850901670420033,2200.487014055252
mog1,grammar_mcmc,20260908_161101_seed1,6.829265824742795,123.65113428152942,2695.6465480327606
mog1,grammar_mcmc,20260908_165557_seed2,7.978475926504303,2029.6671627564913,2894.9500834941864
mog1,grammar_mcmc,20260908_174412_seed3,7.894408323111127,138.37056358683455,2764.666331768036
mog1,grammar_mcmc,20260908_183017_seed4,7.288555470677253,62.98603192324407,12988.52337551117
mog1,grammar_mcmc,20260908_220645_seed5,7.8184775488511695,26.95523700701596,2982.365417957306
mog1,refinestat,20260817_114959_seed1,6.718851871914955,10.319505446800031,326.85546493530273
mog1,refinestat,20260817_115526_seed2,6.708813255693591,8.185226432437162,1021.0078189373016
mog1,refinestat,20260817_121227_seed3,7.813680003420538,35.673483718341984,330.56190943717957
mog1,refinestat,20260817_121757_seed4,7.75905830531511,26.068440119229912,258.72860383987427
mog1,refinestat,20260817_122216_seed5,6.708070203934103,8.956097459917686,185.9005572795868
mog1,refinestat_mcmc,20260812_182149_seed1,6.71362301453986,9.569348393726905,636.2788212299347
mog1,refinestat_mcmc,20260812_183225_seed2,6.7406459971781425,8.424646055775828,613.4784977436066
mog1,refinestat_mcmc,20260812_184239_seed3,6.709548533011825,8.401472448998382,831.6899027824402
mog1,refinestat_mcmc,20260812_185631_seed4,6.731392845505583,8.288690718778398,672.7905647754669
mog1,refinestat_mcmc,20260812_190743_seed5,6.717488583515451,7.954391622484262,1731.0138456821442
csi,real_program,1,-22.183530466458098,0.0,
csi,naive_gauss,1,1.7848466264492036,1.2598928389380362,
csi,evolutionary,DESKTOP-3B7BIDK_25_1_22_222706_906098_12628_1,-20.696133622632267,0.41200536675041943,
csi,evolutionary,DESKTOP-3B7BIDK_25_1_22_222707_878845_11568_5,-20.649646006811476,0.4040053667504193,
csi,evolutionary,DESKTOP-3B7BIDK_25_1_22_220800_759649_18776_5,-20.46832895134906,0.23601283484861013,
csi,evolutionary,DESKTOP-3B7BIDK_25_1_22_223832_718913_18792_12,-19.14040598456798,0.46801820159902957,
csi,evolutionary,DESKTOP-3B7BIDK_25_1_22_220800_373515_3792_2,-21.68457431941157,0.6156,
csi,ALPS,20260826_032906,-20.549238800383336,1.2960000096694573,2908.0807831287384
csi,ALPS,20260826_041737,-20.8014375406982,1.0960000055043415,3320.9368789196014
csi,ALPS,20260826_051301,-20.697485147542352,1.095904361184062,1176.8159639835358
csi,ALPS,20260826_053241,-20.605006994924498,1.1960001080573979,2109.5360145568848
csi,ALPS,20260826_060754,-15.26205743351893,0.6540404025000005,530.0775406360626
csi,grammar_mcmc,20260908_071736_seed1,2.456186458489786,35.007148552367184,4505.003512382507
csi,grammar_mcmc,20260908_083241_seed2,4.039914755906246,950.249095569535,8359.096660614014
csi,grammar_mcmc,20260908_105200_seed3,4.385080618342404,1715.6913024779328,4460.729910135269
csi,grammar_mcmc,20260908_120621_seed4,4.520272955060536,38.41156304843014,4732.531823635101
csi,grammar_mcmc,20260908_132513_seed5,5.794611618131447,797.5367469770443,6059.718845129013
csi,refinestat,20260817_122702_seed1,1.7883788194682164,1.2577776635932305,135.21425795555115
csi,refinestat,20260818_123919_seed2,,,12413.570703983307
csi,refinestat,20260818_160613_seed3,1.788892284323058,1.2479447439725353,137.91630578041077
csi,refinestat,20260818_160831_seed4,,,6311.795904159546
csi,refinestat,20260818_175342_seed5,1.7853563044289673,1.254609543816545,384.1041383743286
csi,refinestat_mcmc,20260812_193827_seed1,1.791750976607554,1.2389300393765292,16126.17080450058
csi,refinestat_mcmc,20260813_000713_seed2,1.7941352223738498,1.2891151193203827,16828.096651792526
csi,refinestat_mcmc,20260813_044741_seed3,1.7892812670719709,1.2830457846769185,1623.2673003673553
csi,refinestat_mcmc,20260813_051444_seed4,1.789821376148778,1.2691179836112318,41203.89510297775
csi,refinestat_mcmc,20260813_164128_seed5,1.7891036041152844,1.2691948667212152,22707.237032413483
easytugwar,real_program,1,-0.20324143477097034,0.0,
easytugwar,naive_gauss,1,6.3280432792336985,13.15815089462648,
easytugwar,evolutionary,Rominas-Air.lan_25_1_21_210609_578042_25269_14,0.4640779640780975,13.411732933764974,
easytugwar,evolutionary,Rominas-Air.lan_25_1_21_210103_408428_24586_6,0.5358936461975248,26.039239824431487,
