benchmark,method,NLL_mean,NLL_std,GW2_mean,GW2_std,n_valid,n_nonfinite,n_total
if,real_program,3.694560957362951,nan,0.0,nan,1,0,1
if,naive_gauss,5.289788445757126,nan,51.63633902310622,nan,1,0,1
if,evolutionary,5.288914525763869,0.2546353908281015,65.38413370801774,19.206793993658387,5,1,31
if,ALPS,3.9767180759241505,0.04327657683210115,13.237532132576053,10.79763942888463,5,0,5
if,grammar_mcmc,5.40645518856299,0.12157893313289553,282.1044711718416,295.6408319119161,5,0,5
if,refinestat,5.250445642358358,0.09132530519704836,47.75869286074435,9.265379912099803,5,0,5
if,refinestat_mcmc,4.771109366978759,0.39544594876433403,16.40150221303989,14.55003544390705,5,0,5
mog1,real_program,6.6697904721593675,nan,0.0,nan,1,0,1
mog1,naive_gauss,6.706814816720446,nan,8.843311891324918,nan,1,0,1
mog1,evolutionary,7.731626630613294,0.4479930164625513,38.747182784058054,46.71357211882788,5,1,30
mog1,ALPS,6.461251740062866,0.14134087311879834,27.868877512373963,6.671313341443156,5,0,5
mog1,grammar_mcmc,7.561836618777329,0.49025487566039244,476.32602591102307,869.5180012034008,5,0,5
mog1,refinestat,7.1416947280556595,0.5888367080220595,17.840550635345355,12.393915665755376,5,0,5
mog1,refinestat_mcmc,6.7225397947501735,0.013038478245673047,8.527709847952753,0.6118400154371956,5,0,5
csi,real_program,-22.183530466458098,nan,0.0,nan,1,0,1
csi,naive_gauss,1.7848466264492036,nan,1.2598928389380362,nan,1,0,1
csi,evolutionary,-20.52781777695447,0.9096302053635081,0.4271283539896957,0.13645700781365327,5,20,30
csi,ALPS,-19.583045183413464,2.4174018880988903,1.0675889773830518,0.245607608502727,5,0,5
csi,grammar_mcmc,4.239213281186084,1.1977520986762102,707.3791713250619,704.1678316123945,5,0,5
csi,refinestat,1.7875424694067472,0.0019106018742382992,1.2534439837941036,0.005019011326067955,3,0,5
csi,refinestat_mcmc,1.7908184892634875,0.0021312184820755833,1.2698807587412557,0.01937961453261353,5,0,5
easytugwar,real_program,-0.20324143477097034,nan,0.0,nan,1,0,1
easytugwar,naive_gauss,6.3280432792336985,nan,13.15815089462648,nan,1,0,1
easytugwar,evolutionary,1.7108575305778708,2.7422125310610137,16.84959680023747,6.381976335774069,5,3,32
easytugwar,ALPS,0.24414343843837738,0.14164052572795272,13.201871949369362,2.8667116247680355,5,0,5
easytugwar,grammar_mcmc,7.1746585103767755,0.40716791113211326,234.89193203827145,299.30293536641307,5,0,5
easytugwar,refinestat,5.569831375258696,1.556750996576889,18.8197455943693,14.916948277919989,5,0,5
easytugwar,refinestat_mcmc,6.330784875592316,0.0008849057929745025,13.10448017762495,0.210537127688145,2,1,5
biasedtugwar,real_program,-0.24835884012745155,nan,0.0,nan,1,0,1
biasedtugwar,naive_gauss,6.076715302051406,nan,9.283273390261163,nan,1,0,1
biasedtugwar,evolutionary,8.78781274014283,14.043285945820475,26340.933634176617,58807.805439289936,5,10,31
biasedtugwar,ALPS,0.4618861936736726,0.8347077313113089,24.793877795595773,15.614019787124997,5,0,5
