benchmark,method,NLL_mean,NLL_std,GW2_mean,GW2_std,n_valid,n_nonfinite,n_total
biasedtugwar,grammar_mcmc,6.805471441974204,0.8022221064602574,936.5933060338526,1379.6821651162224,5,0,5
biasedtugwar,refinestat,5.883123011980367,1.506486867375499,54.39631565977753,92.72990954450972,5,0,5
biasedtugwar,refinestat_mcmc,6.078486780309549,0.0009607943743118121,9.265260133729905,0.2979235239809937,2,0,5
mixedcondition,real_program,-1.1242899474484105,nan,0.0,nan,1,0,1
mixedcondition,naive_gauss,5.039734816196003,nan,2.822274509976624,nan,1,0,1
mixedcondition,evolutionary,1.288019888227304,1.7994165823935153,43.54507815069586,82.27121126176066,5,4,31
mixedcondition,ALPS,0.269653539934653,2.4566567911693706,3.2031511079070563,0.7326289019153316,5,0,5
mixedcondition,grammar_mcmc,6.170446178135792,0.51369468883176,447.35196513895835,599.1510647057717,5,0,5
mixedcondition,refinestat,4.290832382977376,1.6812809683009713,2.874650882595506,0.11572104123405047,5,0,5
mixedcondition,refinestat_mcmc,5.044694763507292,0.0038759109565661923,2.9227724427865125,0.10485828420327978,5,0,5
multiplebranches,real_program,5.740091670798777,nan,0.0,nan,1,0,1
multiplebranches,naive_gauss,6.359347389799552,nan,58.5072814050617,nan,1,0,1
multiplebranches,evolutionary,6.458803927881894,0.20658355355719563,93.575149216156,35.64300420188955,5,2,31
multiplebranches,ALPS,5.866812433994058,0.130811993766834,28.719634386687357,7.9816368417087125,5,0,5
multiplebranches,grammar_mcmc,6.4035390088674236,0.10198440444980462,61.71134006782533,2.3256702207444655,5,0,5
multiplebranches,refinestat,6.298667349627633,0.19991112436915323,61.26884747895163,18.772121789189228,5,0,5
multiplebranches,refinestat_mcmc,6.226057019047202,0.15442477627454831,44.10138970290518,3.880493165767627,5,0,5
eyecolor,real_program,-15.792471262023751,nan,0.0,nan,1,0,1
eyecolor,naive_gauss,3.7528456701690973,nan,5.269704920702336,nan,1,0,1
eyecolor,evolutionary,-15.068857031215359,0.0,1.6647086541449279,0.0,1,29,30
eyecolor,ALPS,-12.820406813848527,0.7410552395000785,4.843746767218351,1.3454250726190837,5,0,5
eyecolor,grammar_mcmc,3.8553273847316882,0.7549426751576687,1519.0641455367208,1790.7982045281462,5,0,5
eyecolor,refinestat,2.215236695857488,0.1470299512700877,3.4662800911195104,1.5468110064453804,5,0,5
eyecolor,refinestat_mcmc,3.762262832948269,0.007680774478828411,5.214381035699949,0.09691459673881492,5,0,5
hurricane,real_program,-10.44834891340735,nan,0.0,nan,1,0,1
hurricane,naive_gauss,1.9769282734030322,nan,1.9866595260979776,nan,1,0,1
hurricane,evolutionary,-9.758257890526618,0.6615504096146112,0.33791390819976763,0.09570963789853153,5,3,30
hurricane,ALPS,-9.499131331097423,0.3427878703451518,0.40454453154404113,0.12735482973171913,5,0,5
hurricane,grammar_mcmc,2.4884528648084245,0.1477150103882333,135.62014778589275,126.74292796687386,5,0,5
hurricane,refinestat,0.0064745775401948286,0.10876810292107654,0.7804485994853965,0.008026479594912548,5,0,5
hurricane,refinestat_mcmc,0.13187721050301193,4.128188963365696,1.6875173707559559,0.7092704712121501,5,0,5
