iteration,best_loss
0,68.46857176105215
1,68.46857176105215
2,68.46857176105215
3,68.46857176105215
4,68.46857176105215
5,68.46857176105215
6,68.46857176105215
7,68.46857176105215
8,63.55916107867908
9,63.55916107867908
10,63.55916107867908
11,63.55916107867908
12,63.55916107867908
13,63.55916107867908
14,63.55916107867908
15,59.37730181293694
16,19.54590817987724
17,19.54590817987724
18,19.54590817987724
19,19.54590817987724
20,19.54590817987724
21,19.54590817987724
22,19.54590817987724
23,19.54590817987724
24,19.54590817987724
25,19.54590817987724
26,19.54590817987724
27,19.54590817987724
28,19.54590817987724
29,18.114844467971682
30,18.114844467971682
31,18.114844467971682
32,18.114844467971682
33,18.114844467971682
34,18.114844467971682
35,18.114844467971682
36,16.215281570362777
37,16.215281570362777
38,16.215281570362777
39,16.215281570362777
40,16.215281570362777
41,16.215281570362777
42,16.215281570362777
43,16.215281570362777
44,11.290564534872388
45,11.290564534872388
46,11.290564534872388
47,11.290564534872388
48,11.290564534872388
49,11.290564534872388
50,11.290564534872388
51,11.290564534872388
52,11.290564534872388
53,11.290564534872388
54,11.290564534872388
55,11.290564534872388
56,11.290564534872388
57,11.290564534872388
58,11.290564534872388
59,11.290564534872388
60,11.290564534872388
61,11.290564534872388
62,11.290564534872388
63,11.290564534872388
64,11.290564534872388
65,11.290564534872388
66,11.290564534872388
67,11.290564534872388
68,11.290564534872388
69,11.290564534872388
70,11.290564534872388
71,11.290564534872388
72,11.290564534872388
73,11.290564534872388
74,11.290564534872388
75,11.290564534872388
76,11.290564534872388
77,11.290564534872388
78,11.290564534872388
79,11.290564534872388
80,8.866183558023927
81,8.866183558023927
82,8.866183558023927
83,8.866183558023927
84,8.866183558023927
85,8.866183558023927
86,8.866183558023927
87,8.866183558023927
88,8.866183558023927
89,8.866183558023927
90,8.866183558023927
91,8.866183558023927
92,8.866183558023927
93,8.866183558023927
94,8.866183558023927
95,8.866183558023927
96,8.866183558023927
97,8.866183558023927
98,8.866183558023927
99,8.866183558023927
100,8.866183558023927
101,8.866183558023927
102,8.866183558023927
103,8.866183558023927
104,8.866183558023927
105,8.866183558023927
106,8.866183558023927
107,8.866183558023927
108,8.866183558023927
109,8.866183558023927
110,8.866183558023927
111,8.866183558023927
112,8.866183558023927
113,8.866183558023927
114,8.866183558023927
115,8.866183558023927
116,8.866183558023927
117,8.866183558023927
118,8.866183558023927
119,8.866183558023927
120,8.866183558023927
121,8.866183558023927
122,8.866183558023927
123,8.866183558023927
124,8.866183558023927
125,8.866183558023927
126,8.866183558023927
127,8.866183558023927
128,8.866183558023927
129,8.866183558023927
130,8.866183558023927
131,8.866183558023927
132,8.866183558023927
133,8.866183558023927
134,8.866183558023927
135,8.866183558023927
136,8.866183558023927
137,8.866183558023927
138,8.866183558023927
139,8.780469005870351
140,8.780469005870351
141,8.780469005870351
142,8.780469005870351
143,8.780469005870351
144,8.780469005870351
145,8.780469005870351
146,8.780469005870351
147,8.780469005870351
148,8.780469005870351
149,8.780469005870351
150,8.780469005870351
151,8.780469005870351
152,8.780469005870351
153,8.780469005870351
154,8.780469005870351
155,8.780469005870351
156,8.780469005870351
157,8.780469005870351
158,8.780469005870351
159,8.780469005870351
160,8.780469005870351
161,8.780469005870351
162,8.780469005870351
163,8.780469005870351
164,8.780469005870351
165,8.780469005870351
