iteration,best_loss
0,inf
1,inf
2,inf
3,24.70322457951106
4,24.70322457951106
5,24.70322457951106
6,24.70322457951106
7,1.6984606953780306
8,1.6984606953780306
9,1.6984606953780306
10,1.6984606953780306
11,1.6984606953780306
12,-6.627147254723776
13,-6.627147254723776
14,-6.627147254723776
15,-6.627147254723776
16,-6.627147254723776
17,-6.627147254723776
18,-6.627147254723776
19,-11.719300615374339
20,-11.719300615374339
21,-11.719300615374339
22,-11.719300615374339
23,-11.719300615374339
24,-11.719300615374339
25,-11.719300615374339
26,-11.719300615374339
27,-11.719300615374339
28,-11.719300615374339
29,-11.719300615374339
30,-11.719300615374339
31,-13.858797042864772
32,-13.858797042864772
33,-13.858797042864772
34,-13.858797042864772
35,-13.858797042864772
36,-13.858797042864772
37,-13.858797042864772
38,-13.858797042864772
39,-13.858797042864772
40,-13.858797042864772
41,-13.858797042864772
42,-13.858797042864772
43,-13.858797042864772
44,-13.858797042864772
45,-13.858797042864772
46,-13.858797042864772
47,-13.858797042864772
48,-13.858797042864772
49,-13.858797042864772
50,-13.858797042864772
51,-13.858797042864772
52,-13.858797042864772
53,-13.858797042864772
54,-13.858797042864772
55,-13.858797042864772
56,-13.858797042864772
57,-13.858797042864772
58,-13.858797042864772
59,-13.858797042864772
