iteration,median,q25,q75
1,4.092454761639358,4.036028754103207,4.125915061887905
2,4.063852534511495,4.019764705378339,4.083615266627495
3,4.03504026746175,4.019508372199286,4.059888605112637
4,4.0346907111655375,4.019508371189418,4.052207317066553
5,4.019508371189418,4.00165415907025,4.0346907111655375
6,4.019508371189418,3.9169891715435448,4.0346907111655375
7,3.937185085359483,3.9155644208106066,4.019508371189418
8,3.969293962890802,3.917903527794322,4.027068279655977
9,3.967915965781999,3.9155570696997355,4.027068279655977
10,3.9675940631692956,3.9150742157112357,4.027068279655977
11,3.967593868549363,3.9150739237445076,4.027068279655977
12,4.019508371189418,3.966382984219762,4.034628188122538
13,4.019508371189418,3.966382984219762,4.034628188122538
14,4.019508371189418,3.966382984219762,4.034628188122538
15,4.019508371189418,3.966382984219762,4.034628188122538
