a,b
0.8137031029568011,6.399427703180937
4.882680059800089,-8.105932876724633
-1.5213011223667339,-4.518416586934082
2.7276934246375903,-4.32967669785243
-2.897498351047805,-3.2092945066591754
1.4244967162531794,8.232480594988095
1.8163355480031051,9.834782121273825
3.7311533415138447,-0.1811913208548419
-4.782600449447054,-5.964376807807334
1.3533517608194654,-9.841304987356263
4.594016955351144,0.10350352119657247
-1.4288878841145158,-0.5819495046872589
-1.827187309095125,9.93089478093971
0.69553632103719,8.056168529532389
-2.4854722699068144,8.102424347483147
-2.226435037930582,8.485907749467096
-4.10084180397907,8.037341434647956
-0.6140150190233391,-8.974735159872257
-0.13221253708254888,9.783596592051955
3.612788302806437,2.0756436904264266
3.770937829558428,-5.612005162880518
-0.6741827417347381,8.970475963491188
0.5379253847099397,0.16251602540785326
-0.599629287584339,7.161538607036245
2.4339153984702566,-1.8199867659615796
1.267981777859612,7.994738356518948
2.060820601407239,6.181328472496533
-0.6341189396165157,-0.017758113049359814
3.579070625934541,-10.872817812424122
-0.7561670515984913,8.911874473375494
-0.40908135239107546,6.606641663844279
-1.7161343215359404,-17.09554420019962
0.3659389418809025,-6.309005355298471
0.9148641184124224,-3.9340638374930452
3.741567259025618,-3.3543988308119608
4.551894332129297,8.11072767304248
-1.2791359800481317,5.877891765383984
5.2556053433381145,8.183967640125672
1.789519347722863,7.132094209360715
2.663251027669861,8.495408591680091
1.8987662754554009,7.331020983317976
-0.09481207146470383,-9.601427224558567
-0.7885998312329232,-5.296452946099638
-3.0851287577508772,0.8501126191527781
-1.308374615454555,7.662645346746302
4.711440400175593,-1.4266399524598388
3.248795826748961,8.960197768874972
0.2733094488088569,7.088157354638989
-1.0830331490949692,-6.855046093973588
1.4914362045791885,-5.1346651284294005
