iteration,best_loss
1,6.197315968824068
2,6.194393426333198
3,6.194389288259372
4,6.177379258746592
5,6.172874454001354
6,6.172869929437539
7,6.1649803296637185
8,6.157055841609223
9,6.156947355054376
10,6.156947354261094
