iteration,median,q25,q75
1,-6.684763724409259,-7.984080555570539,-6.308549134935244
2,-12.074835680426334,-12.921445338445839,-11.730228901680821
3,-13.171204531988712,-13.554434461733974,-12.7408889152439
4,-13.171204531988712,-13.550173724000175,-12.712846238926549
5,-13.171204531988712,-13.550173724000175,-12.712846238926549
6,-12.94202538545763,-13.265946829991577,-12.435853045318272
7,-12.94202538545763,-13.265946829991577,-12.435853045318272
8,-12.94202538545763,-13.265946829991577,-12.435853045318272
9,-12.94202538545763,-13.265946829991577,-12.435853045318272
10,-12.94202538545763,-13.265946829991577,-12.435853045318272
11,-12.94202538545763,-13.265946829991577,-12.435853045318272
12,-12.94202538545763,-13.265946829991577,-12.435853045318272
13,-12.94202538545763,-13.265946829991577,-12.435853045318272
14,-12.94202538545763,-13.265946829991577,-12.435853045318272
15,-12.94202538545763,-13.265946829991577,-12.435853045318272
