ALPS,grammar_mcmc,refinestat,refinestat_mcmc
-39.24155773047858,6.737112602101022,inf,inf
-19.802932096440387,9.708949709977286,inf,-19.81585323834323
-19.692597135444476,14.700454116251397,inf,
-16.11057806936707,14.858494718818154,inf,
-32.617958499220016,8.063519287135943,inf,
