iteration,median,q25,q75
1,-17.468938783921242,-31.966726148970775,-16.11057806936707
2,-17.468938783921242,-31.966726148970775,-16.776760827571174
3,-17.468938783921242,-31.966726148970775,-17.323032946187872
4,-17.468938783921242,-31.966726148970775,-17.323032946187872
5,-19.370346935334474,-32.019824301012996,-17.468938783921242
6,-19.370346935334474,-32.15337631277471,-18.072006028129902
7,-19.370346935334474,-32.617958499220016,-18.072006028129902
8,-19.53524391165525,-32.617958499220016,-18.072006028129902
9,-19.692597135444476,-32.617958499220016,-18.072006028129902
10,-19.692597135444476,-32.617958499220016,-18.5117793767977
11,-19.692597135444476,-32.617958499220016,-18.5117793767977
12,-19.802932096440387,-32.617958499220016,-19.692597135444476
13,-19.802932096440387,-32.617958499220016,-19.692597135444476
14,-19.802932096440387,-32.617958499220016,-19.692597135444476
15,-19.802932096440387,-32.617958499220016,-19.692597135444476
